month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,太子町,11.210526315789474,3.6905125715726363,11.0,-0.21052631578947434,-0.05704527804921224,-7.591551458934745
2,太子町,9.473684210526315,2.6324559942007597,7.0,-2.473684210526315,-0.9396868232463467,-7.738596198927834
3,太子町,9.631578947368421,4.00292290868379,9.0,-0.6315789473684212,-0.15777944311600348,-8.637424764736004
4,太子町,7.894736842105263,2.2826577307580465,6.0,-1.8947368421052628,-0.8300573566392894,-6.460052303621357
5,太子町,9.842105263157896,3.5786893611851323,8.0,-1.8421052631578956,-0.5147429903074507,-8.999483985528158
6,太子町,7.421052631578948,2.9119636267890936,11.0,3.578947368421052,1.2290494755827068,-2.244979885157136
7,太子町,9.421052631578947,3.5010441216186448,9.0,-0.4210526315789469,-0.1202648744067472,-7.423140874816237
8,太子町,8.263157894736842,4.42018231478142,,,,
9,太子町,7.052631578947368,1.985326287499427,,,,
10,太子町,9.263157894736842,2.8643809737137094,,,,
11,太子町,9.947368421052632,3.2399191384032737,,,,
12,太子町,9.736842105263158,2.4909191802571793,,,,
