month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,田尻町,7.368421052631579,3.040660131466146,8.0,0.6315789473684212,0.20771112852520168,-5.44974131556387,13.44974131556387
2,田尻町,5.947368421052632,2.8766045611396764,6.0,0.05263157894736814,0.01829642477049961,-5.700577543331985,11.700577543331985
3,田尻町,7.842105263157895,3.0416216050495324,8.0,0.1578947368421053,0.05191136746923982,-5.92534847325696,13.92534847325696
4,田尻町,5.842105263157895,2.267234191077971,13.0,7.157894736842105,3.157104266074445,2.6234263546861634,10.376573645313837
5,田尻町,5.052631578947368,2.59216092201353,1.0,-4.052631578947368,-1.5634182062274815,-9.236953422974429,10.236953422974429
6,田尻町,4.578947368421052,2.4339220628826914,4.0,-0.5789473684210522,-0.2378660258888314,-5.446791494186435,9.446791494186435
7,田尻町,6.315789473684211,2.1871501391066306,8.0,1.6842105263157894,0.7700479707368085,-2.690089751897471,10.690089751897471
8,田尻町,6.2631578947368425,1.9675733859858353,,,,,10.198304666708513
9,田尻町,6.157894736842105,3.0048693425974236,,,,,12.167633422036953
10,田尻町,6.2105263157894735,1.9882696935448683,,,,,10.18706570287921
11,田尻町,6.684210526315789,2.7699304359284986,,,,,12.224071398172786
12,田尻町,6.684210526315789,2.495610180985523,,,,,11.675430888286837
