month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,島本町,21.105263157894736,5.3008881524399625,24.0,2.8947368421052637,0.5460852519162919,-7.7070394627746595,31.70703946277466
2,島本町,18.05263157894737,5.939263742348002,27.0,8.94736842105263,1.506477706530577,-2.931159063643374,29.931159063643374
3,島本町,18.263157894736842,4.817123453117338,30.0,11.736842105263158,2.436483561090346,2.1025951990284817,27.89740480097152
4,島本町,19.105263157894736,4.395638454980185,25.0,5.894736842105264,1.3410422405024292,-2.8965400678551063,27.896540067855106
5,島本町,18.68421052631579,5.3338815507715225,26.0,7.315789473684209,1.3715695416269624,-3.351973627858836,29.351973627858836
6,島本町,14.894736842105264,5.536693124982991,15.0,0.10526315789473628,0.019011918399407347,-10.968123092071245,25.968123092071245
7,島本町,16.36842105263158,5.112191596954931,21.0,4.631578947368421,0.905986964597965,-5.592804246541441,26.59280424654144
8,島本町,17.157894736842106,6.618686995459118,,,,,30.395268727760342
9,島本町,16.05263157894737,4.453134778639106,,,,,24.95890113622558
10,島本町,17.63157894736842,3.684962329308273,,,,,25.00150360598497
11,島本町,17.842105263157894,4.272172982020285,,,,,26.386451227198464
12,島本町,21.473684210526315,4.869045321126236,,,,,31.211774852778788
