month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,門真市,114.26315789473684,20.267220675714977,145.0,30.736842105263165,1.5165790414515652,-9.797599246166783,154.79759924616678
2,門真市,93.3157894736842,18.336522848551155,89.0,-4.315789473684205,-0.23536575114759087,-40.9888351707865,129.9888351707865
3,門真市,100.52631578947368,18.118034051594474,141.0,40.473684210526315,2.2338893996594753,4.237616107337374,136.76238389266263
4,門真市,88.89473684210526,14.925350309836787,134.0,45.10526315789474,3.0220572530326075,15.254562538221165,118.74543746177883
5,門真市,88.10526315789474,18.773192284159126,99.0,10.89473684210526,0.5803348027974055,-26.651647726212985,125.65164772621299
6,門真市,82.3157894736842,14.031918501833784,105.0,22.684210526315795,1.616615042579621,-5.379626477351778,110.37962647735178
7,門真市,85.57894736842105,14.511741565878776,124.0,38.421052631578945,2.6475838518181543,9.397569499821401,114.6024305001786
8,門真市,90.05263157894737,14.183220462576843,,,,,118.41907250410105
9,門真市,85.57894736842105,15.575321610639499,,,,,116.72959058970005
10,門真市,92.36842105263158,17.036596316021807,,,,,126.44161368467519
11,門真市,93.26315789473684,14.910257860737495,,,,,123.08367361621183
12,門真市,97.26315789473684,19.649263783955416,,,,,136.56168546264766
