month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,能勢町,14.052631578947368,3.908305745610186,17.0,2.947368421052632,0.7541294394286117,-4.869243070167741
2,能勢町,12.789473684210526,3.207265144574477,11.0,-1.7894736842105257,-0.5579437943375722,-8.20400397335948
3,能勢町,13.421052631578947,4.426131863699251,15.0,1.578947368421053,0.3567330158802382,-7.273316358977446
4,能勢町,11.263157894736842,2.978480322117265,7.0,-4.2631578947368425,-1.4313198120128452,-10.220118538971374
5,能勢町,11.31578947368421,4.3849823460806086,10.0,-1.3157894736842106,-0.3000672225876329,-10.08575416584543
6,能勢町,10.105263157894736,4.47082812167581,9.0,-1.1052631578947363,-0.24721665154965702,-10.046919401246356
7,能勢町,10.157894736842104,3.4683194440653633,11.0,0.8421052631578956,0.24279922214166885,-6.094533624972833
8,能勢町,10.263157894736842,3.739312254994343,,,,
9,能勢町,11.0,3.197221015541813,,,,
10,能勢町,11.894736842105264,3.6801983165480103,,,,
11,能勢町,12.157894736842104,3.947758265349771,,,,
12,能勢町,12.368421052631579,3.6087936783453687,,,,
