month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,大阪狭山市,47.5,7.030545599636733,55.0,7.5,1.0667735375171343,-6.561091199273463
2,大阪狭山市,43.125,5.221863378417434,50.0,6.875,1.3165798301838325,-3.56872675683487
3,大阪狭山市,47.5,5.656854249492381,46.0,-1.5,-0.2651650429449553,-12.81370849898476
4,大阪狭山市,39.875,6.446205971621713,39.0,-0.875,-0.1357387591789703,-13.767411943243424
5,大阪狭山市,39.625,7.049569389078213,38.0,-1.625,-0.23051053338344138,-15.72413877815643
6,大阪狭山市,39.0,8.76682056718072,32.0,-7.0,-0.798465070245084,-24.53364113436144
7,大阪狭山市,31.0,5.5549205986353085,31.0,0.0,0.0,-11.109841197270619
8,大阪狭山市,36.625,5.755432216610669,35.0,-1.625,-0.2823419577959951,-13.135864433221336
9,大阪狭山市,38.125,5.718079098038831,39.0,0.875,0.15302341660508068,-10.561158196077663
10,大阪狭山市,39.5,3.4226138716316967,,,,
11,大阪狭山市,40.125,2.4748737341529163,,,,
12,大阪狭山市,44.75,7.923743703939085,,,,
