month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,四條畷市,45.875,10.273926777458142,59.0,13.125,1.2775056980936785,-7.422853554916287,66.42285355491629
2,四條畷市,41.25,7.4785407285493495,55.0,13.75,1.838593984988186,-1.2070814570986954,56.207081457098695
3,四條畷市,41.25,8.664376986917672,37.0,-4.25,-0.49051420620513947,-21.578753973835347,58.57875397383535
4,四條畷市,37.125,5.743008171432708,37.0,-0.125,-0.02176559675150458,-11.611016342865412,48.61101634286541
5,四條畷市,40.0,7.406560798180411,40.0,0.0,0.0,-14.813121596360823,54.81312159636082
6,四條畷市,34.0,7.521398046336104,32.0,-2.0,-0.26590801173915524,-17.042796092672205,49.042796092672205
7,四條畷市,37.625,6.345695954176906,42.0,4.375,0.6894436846001515,-8.316391908353808,50.31639190835381
8,四條畷市,35.5,5.631543812693436,48.0,12.5,2.219640016264304,1.2369123746131265,46.76308762538687
9,四條畷市,34.5,5.3718844791323335,48.0,13.5,2.513084570683195,2.756231041735333,45.24376895826467
10,四條畷市,37.625,5.262739645035518,,,,,48.15047929007103
11,四條畷市,43.375,4.50198368975912,,,,,52.378967379518244
12,四條畷市,46.25,8.276472678623424,,,,,62.80294535724685
