month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,吹田市,281.25,38.07042346569241,335.0,53.75,1.4118571612011992,-22.39084693138483,357.39084693138483
2,吹田市,245.875,34.84429652037762,232.0,-13.875,-0.3982000323032962,-83.56359304075522,315.5635930407552
3,吹田市,246.5,27.06605676066295,286.0,39.5,1.4593924910926883,-14.632113521325891,300.6321135213259
4,吹田市,213.0,26.554526114070594,255.0,42.0,1.5816512717862146,-11.109052228141195,266.1090522281412
5,吹田市,228.875,28.806931209594083,227.0,-1.875,-0.06508850201216627,-59.488862419188195,286.4888624191882
6,吹田市,209.875,24.427370480087056,228.0,18.125,0.7419955420406513,-30.729740960174126,258.7297409601741
7,吹田市,222.625,21.367114251310856,247.0,24.375,1.1407717351679632,-18.359228502621704,265.3592285026217
8,吹田市,222.0,23.488599058144903,250.0,28.0,1.1920676891238742,-18.9771981162898,268.9771981162898
9,吹田市,217.125,13.389094709608157,251.0,33.875,2.5300440944443343,7.096810580783682,243.90318941921632
10,吹田市,219.5,22.51348802067647,,,,,264.52697604135295
11,吹田市,233.75,27.696054386345875,,,,,289.14210877269176
12,吹田市,243.125,17.24145751213792,,,,,277.6079150242758
