month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,豊能町,21.0,6.761234037828133,27.0,6.0,0.8874119674649424,-7.522468075656263
2,豊能町,19.5,2.9760952365713798,20.0,0.5,0.16800537625806178,-5.45219047314276
3,豊能町,19.75,2.6049403612586386,12.0,-7.75,-2.9751160968059183,-12.959880722517276
4,豊能町,18.0,2.7255405754769875,17.0,-1.0,-0.36689969285267143,-6.451081150953975
5,豊能町,15.5,6.07100838882165,20.0,4.5,0.7412277684026435,-7.642016777643299
6,豊能町,18.375,3.814914340921881,21.0,2.625,0.6880888443135171,-5.004828681843762
7,豊能町,17.5,3.9641248358604595,15.0,-2.5,-0.6306562238868912,-10.42824967172092
8,豊能町,15.5,3.4226138716316967,16.0,0.5,0.1460871774476944,-6.3452277432633934
9,豊能町,16.375,3.8890872965260113,19.0,2.625,0.6749655638598863,-5.153174593052022
10,豊能町,16.25,2.49284690951645,,,,
11,豊能町,17.875,4.454131308603925,,,,
12,豊能町,20.75,4.527692569068709,,,,
