month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過,95%区間上限
1,島本町,27.25,6.13052471924984,24.0,-3.25,-0.5301340666313609,-15.511049438499683,39.51104943849968
2,島本町,21.75,2.0615528128088303,27.0,5.25,2.546624062881496,1.1268943743823385,25.87310562561766
3,島本町,23.25,2.217355782608345,30.0,6.75,3.0441664134114568,2.3152884347833087,27.68471156521669
4,島本町,22.5,4.123105625617661,25.0,2.5,0.6063390625908325,-5.746211251235323,30.746211251235323
5,島本町,22.0,3.366501646120693,26.0,4.0,1.1881770515720091,-2.733003292241385,28.733003292241385
6,島本町,17.5,3.415650255319866,15.0,-2.5,-0.7319250547113999,-9.331300510639732,24.331300510639732
7,島本町,18.0,5.773502691896258,21.0,3.0,0.5196152422706631,-8.547005383792516,29.547005383792516
8,島本町,21.25,7.932002689527196,,,,,37.11400537905439
9,島本町,15.75,5.560275772537426,,,,,26.870551545074854
10,島本町,20.75,2.6299556396765835,,,,,26.00991127935317
11,島本町,22.75,2.753785273643051,,,,,28.2575705472861
12,島本町,27.25,4.573474244670748,,,,,36.3969484893415
