month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,太子町,14.0,3.7416573867739413,11.0,-3.0,-0.8017837257372732,-10.483314773547882
2,太子町,9.75,2.0615528128088303,7.0,-2.75,-1.3339459376998313,-6.8731056256176615
3,太子町,9.0,3.7416573867739413,9.0,0.0,0.0,-7.483314773547882
4,太子町,8.25,2.5,6.0,-2.25,-0.9,-7.25
5,太子町,12.75,1.2583057392117916,8.0,-4.75,-3.774917217635375,-7.266611478423583
6,太子町,7.75,2.0615528128088303,11.0,3.25,1.5764815627361644,-0.8731056256176615
7,太子町,9.25,1.2583057392117916,9.0,-0.25,-0.1986798535597566,-2.7666114784235827
8,太子町,9.5,6.244997998398398,,,,
9,太子町,6.25,2.6299556396765835,,,,
10,太子町,10.5,1.7320508075688772,,,,
11,太子町,11.75,2.753785273643051,,,,
12,太子町,11.5,1.2909944487358056,,,,
