month,place,平均,標準偏差,2020年,平均からの超過,標準偏差との比,超過
1,豊能町,21.5,4.932882862316247,27.0,5.5,1.1149666743591518,-4.365765724632496
2,豊能町,21.0,2.449489742783178,20.0,-1.0,-0.4082482904638631,-5.8989794855663575
3,豊能町,19.5,1.7320508075688772,12.0,-7.5,-4.330127018922194,-10.964101615137753
4,豊能町,18.25,3.947573094109004,17.0,-1.25,-0.31665024819056176,-9.145146188218007
5,豊能町,19.75,3.593976442141304,20.0,0.25,0.06956083436402524,-6.937952884282609
6,豊能町,19.25,2.217355782608345,21.0,1.75,0.7892283294029703,-2.6847115652166913
7,豊能町,18.0,4.69041575982343,15.0,-3.0,-0.6396021490668313,-12.380831519646861
8,豊能町,16.75,2.8722813232690143,,,,
9,豊能町,17.0,3.366501646120693,,,,
10,豊能町,17.5,2.3804761428476167,,,,
11,豊能町,20.25,5.315072906367325,,,,
12,豊能町,21.0,4.242640687119285,,,,
